الشركة,السوق,الرمز,السنة,الربع,نهاية الفترة,نوع الفترة,المقياس,القيمة,العملة,الوحدة,المصدر
Saudi Arabian Oil Company (Aramco),SA,2222,2025,,2025-12-31,instant,النقد وما في حكمه,243099000000,SAR,SAR,https://www.aramco.com/-/media/publications/corporate-reports/reports-and-presentations/2025/fy/saudi-aramco-ara-2025-english.pdf
Saudi Arabian Oil Company (Aramco),SA,2222,2025,,2025-12-31,fy,التوزيعات المدفوعة,320447000000,SAR,SAR,https://www.aramco.com/-/media/publications/corporate-reports/reports-and-presentations/2025/fy/saudi-aramco-ara-2025-english.pdf
Saudi Arabian Oil Company (Aramco),SA,2222,2025,,2025-12-31,fy,التوزيعات لكل سهم,1.3248,SAR,SAR/share,https://www.aramco.com/-/media/publications/corporate-reports/reports-and-presentations/2025/fy/saudi-aramco-ara-2025-english.pdf
Saudi Arabian Oil Company (Aramco),SA,2222,2025,,2025-12-31,fy,ربحية السهم الأساسية والمخفضة,1.44,SAR,SAR/share,https://www.aramco.com/-/media/publications/corporate-reports/reports-and-presentations/2025/fy/saudi-aramco-ara-2025-english.pdf
Saudi Arabian Oil Company (Aramco),SA,2222,2025,,2025-12-31,fy,التدفق النقدي الحر,320354000000,SAR,SAR,https://www.aramco.com/-/media/publications/corporate-reports/reports-and-presentations/2025/fy/saudi-aramco-fy-2025-full-financials-english.pdf
Saudi Arabian Oil Company (Aramco),SA,2222,2025,,2025-12-31,instant,نسبة المديونية (Gearing),3.8,,percent,https://www.aramco.com/-/media/publications/corporate-reports/reports-and-presentations/2025/fy/saudi-aramco-ara-2025-english.pdf
Saudi Arabian Oil Company (Aramco),SA,2222,2025,,2025-12-31,fy,الدخل قبل الضرائب والزكاة,702860000000,SAR,SAR,https://www.aramco.com/-/media/publications/corporate-reports/reports-and-presentations/2025/fy/saudi-aramco-ara-2025-english.pdf
Saudi Arabian Oil Company (Aramco),SA,2222,2025,,2025-12-31,fy,ضرائب الدخل والزكاة,-352650000000,SAR,SAR,https://www.aramco.com/-/media/publications/corporate-reports/reports-and-presentations/2025/fy/saudi-aramco-ara-2025-english.pdf
Saudi Arabian Oil Company (Aramco),SA,2222,2025,,2025-12-31,instant,الالتزامات إلى حقوق الملكية,0.4821971210586475108959287792,,ratio,https://www.aramco.com/-/media/publications/corporate-reports/reports-and-presentations/2025/fy/saudi-aramco-fy-2025-full-financials-english.pdf
Saudi Arabian Oil Company (Aramco),SA,2222,2025,,2025-12-31,instant,الطاقة الإنتاجية القصوى المستدامة,12.0,,mmbpd,https://www.aramco.com/-/media/publications/corporate-reports/reports-and-presentations/2025/fy/saudi-aramco-ara-2025-english.pdf
Saudi Arabian Oil Company (Aramco),SA,2222,2025,,2025-12-31,instant,صافي الطاقة الإنتاجية للكيماويات,59.3,,million_tonnes_per_year,https://www.aramco.com/-/media/publications/corporate-reports/reports-and-presentations/2025/fy/saudi-aramco-ara-2025-english.pdf
Saudi Arabian Oil Company (Aramco),SA,2222,2025,,2025-12-31,fy,صافي الربح,350210000000,SAR,SAR,https://www.aramco.com/-/media/publications/corporate-reports/reports-and-presentations/2025/fy/saudi-aramco-fy-2025-full-financials-english.pdf
